date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:14:59	327/327	------	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Aug%202017%2014:51:25%20GMT	http://connectionpoint4u.com/robots.txt		(from )
08:14:59	14598/14598	------	200	untouched ('OK')	text/html	date:Mon,%2007%20Aug%202017%2014:51:25%20GMT	http://connectionpoint4u.com/	D:/Websites/CPC%20Old/connectionpoint4u.com/index.html	(from )
08:14:59	1150/1150	------	200	untouched ('')	image/x-icon	date:Tue,%2007%20Jan%202014%2014:08:55%20GMT	http://connectionpoint4u.com/favicon.ico	D:/Websites/CPC%20Old/connectionpoint4u.com/favicon.ico	(from http://connectionpoint4u.com/)
08:14:59	39272/39272	------	200	untouched ('OK')	text/css	etag:%227c6e186-9968-4de6cd7d90180%22	http://cdn.mybridgeelement.com/_cornerstone/main.css	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/_cornerstone/main.css	(from http://connectionpoint4u.com/)
08:14:59	4320/4320	------	200	untouched ('OK')	text/css	etag:%227c6e183-10e0-4b5df459b9040%22	http://cdn.mybridgeelement.com/_cornerstone/media.css	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/_cornerstone/media.css	(from http://connectionpoint4u.com/)
08:14:59	13498/13498	------	200	untouched ('OK')	text/css	etag:%227c6e196-34ba-4b5df459b9040%22	http://cdn.mybridgeelement.com/_cornerstone/media/mediaelementplayer.min.css	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/_cornerstone/media/mediaelementplayer.min.css	(from http://connectionpoint4u.com/)
08:14:59	141/141	------	200	untouched ('OK')	text/css	date:Tue,%2003%20Sep%202013%2020:22:26%20GMT	http://connectionpoint4u.com/css/style.css	D:/Websites/CPC%20Old/connectionpoint4u.com/css/style.css	(from http://connectionpoint4u.com/)
08:14:59	94840/94840	------	200	untouched ('')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	D:/Websites/CPC%20Old/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from http://connectionpoint4u.com/)
08:14:59	339/339	------	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Aug%202017%2014:51:28%20GMT	http://connectionpoint4u.com/js/jquery-1.6.2.min.js	D:/Websites/CPC%20Old/connectionpoint4u.com/js/jquery-1.6.2.min.html	(from http://connectionpoint4u.com/)
08:14:59	14135/14135	------	200	untouched ('')	application/javascript	etag:%227c6e118-3737-4c69aad6233c0%22	http://cdn.mybridgeelement.com/js/jCarouselLite.js	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/js/jCarouselLite.js	(from http://connectionpoint4u.com/)
08:14:59	4926/4926	------	200	untouched ('')	application/javascript	etag:%227c6e10b-133e-4c69aaf8784c0%22	http://cdn.mybridgeelement.com/js/jquery.innerfade.js	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/js/jquery.innerfade.js	(from http://connectionpoint4u.com/)
08:14:59	156/156	------	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Aug%202017%2014:51:49%20GMT	http://cdn.mybridgeelement.com/_cornerstone/images/doublequote.png	D:/Websites/CPC%20Old/cdn.mybridgeelement.com/_cornerstone/images/doublequote.4.delayed	(from http://cdn.mybridgeelement.com/_cornerstone/main.css)
